,Name,Country,revid,0,Population,article_quality
22281,Gaetano Negri,Italy,791491432,Stub,62466780,Stub
22282,Giulio Belinzaghi,Italy,791495469,Stub,62466780,Stub
22283,Pietro Giubilo,Italy,791496320,Stub,62466780,Stub
22284,Ugo Vetere,Italy,791497413,Stub,62466780,Stub
22285,Luigi Petroselli,Italy,791498687,Stub,62466780,Stub
22286,Rinaldo Santini,Italy,791500052,Stub,62466780,Stub
22287,Glauco Della Porta,Italy,791500713,Stub,62466780,Stub
22288,Urbano Ciocchetti,Italy,791501349,Stub,62466780,Stub
22289,Salvatore Rebecchini,Italy,791503279,Stub,62466780,Stub
22290,Filippo Andrea VI Doria Pamphili,Italy,791503628,Stub,62466780,Stub
22291,Giovanni Orgera,Italy,791503861,Stub,62466780,Stub
22292,Giangiacomo Borghese,Italy,791504113,Stub,62466780,Stub
22293,Francesco Boncompagni Ludovisi,Italy,791504743,Stub,62466780,Stub
22294,Ettore Ponti,Italy,791505210,Stub,62466780,Stub
22295,Ludovico Spada Veralli Potenziani,Italy,791505263,Stub,62466780,Stub
22296,Filippo Cremonesi,Italy,791505614,Stub,62466780,Stub
22297,Giannetto Valli,Italy,791508517,Stub,62466780,Stub
22298,Luigi Rava,Italy,791508838,Stub,62466780,Stub
22299,Enrico Cruciani Alibrandi,Italy,791509383,Stub,62466780,Stub
22300,Augusto Armellini,Italy,791509706,Stub,62466780,Stub
22301,Alessandro Guiccioli,Italy,791510098,Stub,62466780,Stub
22302,Pietro Venturi,Italy,791511267,Stub,62466780,Stub
22303,Luigi Pianciani,Italy,791512386,Start,62466780,Start
22304,Francesco Rospigliosi Pallavicini,Italy,791512934,Stub,62466780,Stub
22305,Onorato Caetani,Italy,791513220,Stub,62466780,Stub
22306,Alberto Blanc,Italy,791514013,Stub,62466780,Stub
22307,Luigi Amedeo Melegari,Italy,791514634,Stub,62466780,Stub
22308,Pompeo Di Campello,Italy,791514978,Stub,62466780,Stub
22309,Enrico Costa (politician),Italy,791549032,Stub,62466780,Stub
22310,Ernesto Belloni,Italy,791585340,Stub,62466780,Stub
22311,Giuseppe Pasolini,Italy,791625381,Stub,62466780,Stub
22312,Rinaldo Ossola,Italy,791633680,Stub,62466780,Stub
22313,Marcello Visconti di Modrone,Italy,791792623,Stub,62466780,Stub
22314,Christian Abbiati,Italy,791960239,C,62466780,C
22315,Giuseppe Pisanu,Italy,792019163,Start,62466780,Start
22316,Brunetto Latini,Italy,792058792,C,62466780,C
22317,Franca Falcucci,Italy,792155175,Start,62466780,Start
22318,Tina Anselmi,Italy,792155218,C,62466780,C
22319,Rosy Bindi,Italy,792155330,Start,62466780,Start
22320,Giovanna Melandri,Italy,792155395,Start,62466780,Start
22321,Barbara Pollastrini,Italy,792155581,Start,62466780,Start
22322,Mariastella Gelmini,Italy,792155658,C,62466780,C
22323,Michela Vittoria Brambilla,Italy,792155862,Start,62466780,Start
22324,Anna Finocchiaro,Italy,792155913,Start,62466780,Start
22325,Maria Carmela Lanzetta,Italy,792156333,Stub,62466780,Stub
22326,Marianna Madia,Italy,792156784,Start,62466780,Start
22327,Bruno Ferrante,Italy,792489768,Stub,62466780,Stub
22328,Piero Torrigiani,Italy,792587379,Stub,62466780,Stub
22329,Giacomo Matteotti,Italy,792606929,C,62466780,C
22330,Ilona Staller,Italy,792678221,C,62466780,C
22331,Enrico Millo,Italy,792817758,Stub,62466780,Stub
22332,Virgilio Ferrari,Italy,793143855,Stub,62466780,Stub
22333,Carlo Dossi,Italy,793170384,Start,62466780,Start
22334,Diotisalvi Neroni,Italy,793271877,Stub,62466780,Stub
22335,Valentina Vezzali,Italy,793342332,C,62466780,C
22336,Leopoldo Elia,Italy,793516802,Stub,62466780,Stub
22337,Costanzo Ciano,Italy,793584116,Start,62466780,Start
22338,Domenico Siniscalco,Italy,793629884,Stub,62466780,Stub
22339,Giancarlo Gentilini,Italy,793748545,Stub,62466780,Stub
22340,Fausto Gullo,Italy,793811301,Stub,62466780,Stub
22341,Amerigo Petrucci,Italy,794018470,Stub,62466780,Stub
22342,Federico Orlando,Italy,794426140,Stub,62466780,Stub
22343,Gianfranco Micciché,Italy,794479213,Start,62466780,Start
22344,Gian Carlo Abelli,Italy,794553434,Stub,62466780,Stub
22345,List of Presidents of Calabria,Italy,794614130,C,62466780,C
22346,Vitellozzo Vitelli,Italy,794631921,Start,62466780,Start
